n_steps,audit_probability,return_fidelity,expected_score,classical_memory_bound,collective_classical_record_bound,raw_margin_above_classical,systematic_per_branch,null_slack,adjusted_margin,alpha,beta,planned_audit_trials,planned_return_trials,planned_total_trials,planning_feasible
125,0.8873564090247257,0.683467502710602,0.7854119558676638,0.75,0.8535533905932737,0.03541195586766377,0.005,0.005,0.02541195586766376,0.01,0.1,5196,5196,10392,True
126,0.8865816962066762,0.6814171002024701,0.7839993982045732,0.75,0.8535533905932737,0.033999398204573206,0.005,0.005,0.023999398204573197,0.01,0.1,5826,5825,11651,True
127,0.8858085328142629,0.6793728489018628,0.7825906908580629,0.75,0.8535533905932737,0.032590690858062876,0.005,0.005,0.022590690858062867,0.01,0.1,6574,6575,13149,True
128,0.8850369157486342,0.6773347303551571,0.7811858230518957,0.75,0.8535533905932737,0.031185823051895656,0.005,0.005,0.021185823051895647,0.01,0.1,7476,7475,14951,True
129,0.884266841917137,0.6753027261640917,0.7797847840406144,0.75,0.8535533905932737,0.029784784040614354,0.005,0.005,0.019784784040614345,0.01,0.1,8572,8571,17143,True
130,0.8834983082333028,0.6732768179855994,0.778387563109451,0.75,0.8535533905932737,0.02838756310945101,0.005,0.005,0.018387563109451,0.01,0.1,9924,9923,19847,True
131,0.8827313116168362,0.6712569875316426,0.7769941495742394,0.75,0.8535533905932737,0.0269941495742394,0.005,0.005,0.016994149574239392,0.01,0.1,11618,11617,23235,True
132,0.8819658489936024,0.6692432165690476,0.775604532781325,0.75,0.8535533905932737,0.025604532781325018,0.005,0.005,0.015604532781325009,0.01,0.1,13779,13779,27558,True
133,0.8812019172956153,0.6672354869193405,0.7742187021074779,0.75,0.8535533905932737,0.024218702107477896,0.005,0.005,0.014218702107477887,0.01,0.1,16596,16595,33191,True
134,0.880439513461024,0.6652337804585825,0.7728366469598033,0.75,0.8535533905932737,0.022836646959803253,0.005,0.005,0.012836646959803244,0.01,0.1,20362,20361,40723,True
135,0.879678634434102,0.6632380791172067,0.7714583567756543,0.75,0.8535533905932737,0.02145835677565433,0.005,0.005,0.011458356775654321,0.01,0.1,25554,25555,51109,True
136,0.8789192771652339,0.6612483648798552,0.7700838210225445,0.75,0.8535533905932737,0.020083821022544468,0.005,0.005,0.010083821022544459,0.01,0.1,32996,32996,65992,True
137,0.8781614386109033,0.6592646197852157,0.7687130291980595,0.75,0.8535533905932737,0.018713029198059505,0.005,0.005,0.008713029198059496,0.01,0.1,44195,44195,88390,True
138,0.8774051157336815,0.65728682592586,0.7673459708297707,0.75,0.8535533905932737,0.01734597082977074,0.005,0.005,0.007345970829770732,0.01,0.1,62174,62174,124348,True
139,0.8766503055022141,0.6553149654480823,0.7659826354751482,0.75,0.8535533905932737,0.01598263547514822,0.005,0.005,0.0059826354751482125,0.01,0.1,93740,93739,187479,True
140,0.8758970048912097,0.653349020551738,0.7646230127214739,0.75,0.8535533905932737,0.014623012721473927,0.005,0.005,0.004623012721473918,0.01,0.1,156985,156985,313970,True
